instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,cut_filter,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options,threads,restarts,reduced_cost_fixings,seed,permuted_sha256,time_to_first_feasible,primal_integral,incumbents,incumbent_trace_recorded,certificate,certificate_check_seconds
markshare_4_0,1a1feb04f5637db9f69be53bd6224fcd9fe5b8d750870d9b2002b535d25f4353,4,34,123,30,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 164726 nodes",7.000000000000043,1.0,0.0,7.000000000000043,1.0,0,0,1,164726,0,gomory 4: 4 too_dense; mir 8: 8 too_dense,0.0,0.0,0.0000,60.796240,60.000424938,58a8374,Linux-x86_64,2026-09-25T13:43:05+00:00,gpu_fix_and_prop=true,1,0,0,0,,0.001355,52.650286,11,1,,
pk1,6c64530538b254a8ae648f8f8f188847366ae52da560fdec0ad290c642973ba0,45,86,915,55,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 105349 nodes",12.000000000000016,11.0,5.699708488093467,6.300291511906549,0.5250242926588784,0,0,1,105349,0,gomory 15: 15 too_dense,0.0,0.0,0.0000,60.904674,60.000369741,58a8374,Linux-x86_64,2026-09-25T13:43:05+00:00,gpu_fix_and_prop=true,1,0,0,0,,0.291126,12.177816,7,1,,
timtab1,5867d1a9c1067a849211c1a61bdb8839fb0025255dde09989d0ed333e0674d7a,171,397,829,171,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 78248 nodes",1106772.99999961,764771.99999978,293485.99999998,813286.99999963,0.7348272861733315,0,0,1,78248,30,"gomory 129: 129 accepted; mir 256: 246 accepted, 10 duplicate",28693.99999999998,193698.6451612903,0.1531,60.760288,60.000595649,58a8374,Linux-x86_64,2026-09-25T13:43:05+00:00,gpu_fix_and_prop=true,1,0,0,0,,5.886420,22.698214,4,1,,
mas76,91f624659e181538020e0c627910f02ffa6b355d6df708ef324e697a69485a74,12,151,1640,150,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 112265 nodes",41521.61048,40005.05398999999,39521.495228186956,2000.1152518130475,0.04817046421589203,0,0,1,112265,0,gomory 11: 11 too_dense,38893.90364052266,38893.90364052266,0.0000,60.766022,60.000720868,58a8374,Linux-x86_64,2026-09-25T13:43:05+00:00,gpu_fix_and_prop=true,1,0,0,0,,0.455416,3.085345,9,1,,
neos-3754480-nidda,63f322dd9be49acf31f7579d8f04e3bb578bdd7ca7d3525683384190c9a8bf7f,402,253,1488,50,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 47552 nodes",14727.738240696295,12941.73838561778,-437714.2625514933,452442.0007921896,30.7203993850178,0,0,1,47552,0,gomory 41: 41 too_dense,-1216923.270104403,-1216923.270104403,0.0000,60.756408,60.001313045,58a8374,Linux-x86_64,2026-09-25T13:43:05+00:00,gpu_fix_and_prop=true,1,0,0,0,,0.509697,8.723334,12,1,,
glass4,0d6e6ceaf921e5d5489b9926fdfed2ce0aa25fd9acfa9deb6794669b56b59591,396,322,1815,302,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 63579 nodes",2688915333.333401,1200012599.972384,800004250.0,1888911083.3334012,0.7024806842808811,0,0,1,63579,30,"gomory 72: 36 accepted, 36 duplicate; mir 71: 35 accepted, 36 duplicate",800002400.0,800002400.0,0.0000,61.268217,60.000395352,58a8374,Linux-x86_64,2026-09-25T13:43:05+00:00,gpu_fix_and_prop=true,1,0,0,0,,2.870683,36.404981,6,1,,
mad,0109c5aefd23dbe6d46dd84ab4ad451eab329904249b7acaa38e9a0c94a6bc7a,51,220,2808,200,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 48206 nodes",0.5887999999999999,0.0268,-8.475997610409725e-16,0.5888000000000008,0.5888000000000008,0,0,1,48206,5,"gomory 19: 19 too_dense; mir 18: 5 accepted, 13 too_dense",-4.2585791176643604e-16,-9.997499366496248e-17,0.0000,62.650151,60.000773231,58a8374,Linux-x86_64,2026-09-25T13:43:05+00:00,gpu_fix_and_prop=true,1,0,0,0,,1.024303,57.577693,3,1,,
tr12-30,94f8cf2fd2fc920ed6ea2452b0755aeec110eb8404716554485c25e7a1e06a3d,750,1080,2508,360,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 37283 nodes",153897.0,130595.9999999999,27620.49885714644,126276.50114285357,0.8205260735612362,0,0,1,37283,30,gomory 340: 340 accepted; mir 340: 340 accepted,18124.17451832871,22904.232068660192,0.0352,61.051380,60.000752675,58a8374,Linux-x86_64,2026-09-25T13:43:05+00:00,gpu_fix_and_prop=true,1,0,0,0,,0.742516,9.714595,1,1,,
neos-3627168-kasai,adf4a013825ad2932531128132c387eab68470ca087e23ea5cca4d2930954d7e,1655,1462,5158,535,feasible,"stopped at the time limit of 59.9995s after 60.03s, 0 iterations, 6667 nodes",989805.3399999996,988585.6199999998,958000.3466666685,31804.993333331076,0.03213257400018785,0,0,1,6667,30,"gomory 176: 103 accepted, 49 too_dense, 24 coefficient_ratio; mir 280: 280 accepted",945808.0955555545,945808.0955555526,0.0000,60.939424,60.030272555,58a8374,Linux-x86_64,2026-09-25T13:43:05+00:00,gpu_fix_and_prop=true,1,0,0,0,,1.124848,1.421828,8,1,,
csched007,7d9ffe638f906498f432519c66db4570704070afdb88435a4bb75e5641f09973,351,1758,6379,1457,time_limit,"stopped at the time limit of 59.9995s after 60.02s, 0 iterations, 4029 nodes; no feasible point had been found when the limit stopped the search, so none is reported (the objective is the worst representable value, not a solution)",inf,350.9999999999955,294.0042325374505,inf,inf,0,0,,4029,30,"gomory 10: 7 accepted, 1 too_dense, 2 duplicate; mir 66: 60 accepted, 6 duplicate",269.2515873015853,280.4162422619635,,60.863487,60.017761091,58a8374,Linux-x86_64,2026-09-25T13:43:05+00:00,gpu_fix_and_prop=true,1,0,0,0,,,60.017761,0,0,,
